Song Title,Artist,Song Code,Quadrant,Avg_Valence,Avg_Arousal,SD_Valence,SD_Arousal
Moon Song,Norah Jones,A111,Q4,2.8,-2.3,1,0.5
Mother,John Lennon,A112,Q2,-2.3,1.8,1,0.5
Never too Much,Luther Vandross,A114,Q1,3,2.8,0,0.5
"New York, New York",Frank Sinatra,A115,Q1,2.3,2,0.5,0
Nightmare,Avenged Sevenfold,A116,Q2,-2.5,3.3,0.6,0.5
Nothing Compares 2 U,Sinéad O'Connor,A117,Q3,-1.8,-1.5,0.5,0.6
On An Ocean,Lisa Gerrard,A119,Q4,1.8,-3,1,0.8
Paint the Sky with Stars,Enya,A120,Q4,2,-3.3,0.8,0.5
Sacrifice,Sinéad O'Connor,A126,Q3,-1.9,-2.6,1.2,1.1
Serial Killer,Vio-Lence,A127,Q2,-3.1,3.6,1.2,0.5
Single Ladies,Beyonce,A128,Q1,2.7,3,1,0.8
Soldier Side,System of a Down,A129,Q2,-2.4,3,0.8,0.6
Song for a Blue Guitar,Red House Painters,A130,Q3,-2.1,-1,0.7,1
Spill Your Blood,Mr. Hyde,A131,Q2,-2.3,1.8,1.2,0.4
Staying Alive,Bee Gees,A132,Q1,3.2,3.2,0.4,0.4
Suicide Solution,Ozzy Osbourne,A133,Q2,-2.5,2.5,1,0.5
Sunrise,Norah Jones,A134,Q4,2.3,-1.5,0.8,0.8
Take my Scars,Machine Head,A136,Q2,-3.5,3.7,0.5,0.5
Thank you Stars,Kate Melua,A137,Q4,2.6,-2,1,0.6
The Bleeding,Five Finger Deadth Punch,A140,Q2,-2.3,2.5,1.2,0.5
The Boy from Ipanema,Diana Krall,A141,Q4,2.4,-1.7,1.1,0.8
The Enemy Inside,Dream Theater,A142,Q2,-1.8,3.2,1,0.8
Angel,Sarah McLachlan,A143,Q3,-1.8,-2.3,0.8,1
Those Sweet Words,Norah Jones,A145,Q4,2.5,-2,0.5,0.6
Twist and Shout,Beatles,A146,Q1,2.5,3.2,0.8,0.4
Two Miniutes to Midnight,Iron Maiden,A147,Q2,-3.2,3.8,1.2,0.4
Uptown Girl,Billie Joel,A148,Q1,2.8,2.7,0.4,0.8
Vulnerable,Roxette,A149,Q4,2.5,-1,0.5,1.1
War,Bruce Springsteen,A150,Q2,-2.5,2.7,0.5,0.5
War Pigs,Black Sabbath,A151,Q2,-2.2,2.5,1.2,0.5
We are the Champions,Queen,A152,Q1,3,3,0.9,0.9
What a Feeling,Irene Cara,A153,Q1,3.3,2.7,0.5,0.5
Winter Wonderland,Louis Armstrong,A155,Q4,1.8,-2.3,0.8,0.8
Yesterday,Beatles,A157,Q3,-2.5,-2.3,0.8,1
You Should Be Dead,50 Cent,A159,Q2,-1.8,2.7,0.4,0.5
"You're the First, the Last, My Everything",Barry White,A160,Q1,3.2,3,0.4,0
What a Worderful World,Louis Armstrong,A001,Q4,3,-2.2,0.9,0.4
Country Confort,Rod Stewart,A002,Q4,1.7,-1,0.8,0.6
Lately,Stevie Wonder,A003,Q3,-2,-2.3,0.9,0.8
I'm so lonesome I could cry,Johnny Cash,A004,Q3,-2.2,-2.7,0.8,0.5
U Got the Look,Prince,A005,Q1,1.7,2.3,0.8,0.5
Atlantic City,Bruce Springsteen,A006,Q1,1.8,2.7,1.2,1
Blue Eyes,Elton John,A007,Q3,-1.7,-1.7,1,0.5
Our Love,Natalie Cole,A009,Q4,2,-2.2,0.9,0.8
Animal,Pearl Jam,A010,Q2,-2.3,3.7,0.8,0.5
PS I Love You,Beatles,A011,Q1,2.7,1.2,0.5,1.2
London Calling,The Clash,A013,Q2,-1.8,2.3,0.8,0.5
Feels_Just_Like_It_Should,Jamiroquai,A014,Q1,1.7,3.2,1.2,0.4
Just the Way You are,Billie Joel,A017,Q4,2,-1.8,0.6,0.8
Solitude,Tonny Bennett,A018,Q3,-2,-3,0.6,0.6
California Girls,Beach Boys,A019,Q1,3,2.2,0.6,0.8
Sunday Bloody Sunday,U2,A020,Q2,-2.1,3.2,1.2,0.8
That's what friends are for,Dionne and Fiends,A021,Q4,1.9,-1,0.9,1
Miss Jamaica,Jimmy Cliff,A022,Q1,2.6,2.3,0.5,0.5
Last Resort,Papa Roach,A023,Q2,-3.1,3.6,0.7,0.5
Paradise,Sade,A024,Q1,2.3,1.3,1,1
Bring Your Whole Crew,DMX,A025,Q2,-2.3,3,0.8,0.9
Spanish Eyes,Ricky Martin,A027,Q1,2.7,2.5,0.8,0.5
I Fucking Hate You,Godsmack,A028,Q2,-3.2,3.5,1.2,0.5
Tears in Heaven,Eric Clapton,A029,Q3,-2.7,-2.8,1.1,0.8
White Christmas,John Denver,A030,Q4,2,-2.2,0.9,0.8
Soolaimon,Neil Diamond,A031,Q1,2.2,1,0.8,0.7
May it Be,Enya,A032,Q4,1,-3.8,1,0.4
Natural Disaster,Anathema,A034,Q3,-2.2,-0.8,0.8,1.1
Disappear,Dream Theater,A035,Q3,-1.4,-1.6,1.1,0.9
And The Singer sings his song,Neil Diamond,A037,Q3,-0.8,-3.2,1.1,0.8
The Eternal,Joy Division,A038,Q3,-2.8,-2.6,0.4,1.1
